Date,albert_positive,albert_negative,xlnet_positive,xlnet_negative,ernie_positive,ernie_negative,bert_positive,bert_negative,distilbert_positive,distilbert_negative,roberta_positive,roberta_negative
2019-01-29,0.5921763777732849,0.40782368183135986,0.6666662693023682,0.33333373069763184,0.5897960662841797,0.4102039933204651,0.4830200672149658,0.5169799327850342,0.4906506836414337,0.5093493461608887,0.5336936116218567,0.4663063883781433
2017-01-31,0.5873407125473022,0.41265928745269775,0.6163105368614197,0.3836894631385803,0.5918428301811218,0.4081571698188782,0.4891512095928192,0.5108487606048584,0.49770164489746094,0.5022982954978943,0.53254234790802,0.4674576222896576
2018-04-25,0.5845754742622375,0.41542455554008484,0.6319725513458252,0.3680274486541748,0.5910422205924988,0.40895771980285645,0.48078569769859314,0.519214391708374,0.4974427819252014,0.5025571584701538,0.5331966876983643,0.46680331230163574
2018-01-30,0.5923893451690674,0.4076106548309326,0.6433258056640625,0.3566742539405823,0.5901695489883423,0.4098304510116577,0.4851055145263672,0.5148945450782776,0.49621161818504333,0.503788411617279,0.5339365601539612,0.4660634994506836
2017-05-01,0.6008995175361633,0.39910051226615906,0.6357901692390442,0.3642098605632782,0.5911792516708374,0.4088207185268402,0.48108765482902527,0.5189123153686523,0.4948781728744507,0.5051217675209045,0.5340155363082886,0.46598440408706665
2020-07-28,0.591178834438324,0.4088211953639984,0.6560633778572083,0.34393662214279175,0.592555820941925,0.4074441194534302,0.4836405813694,0.5163593888282776,0.497760146856308,0.5022399425506592,0.5325689315795898,0.46743106842041016
2018-07-25,0.5989902019500732,0.40100979804992676,0.6468451023101807,0.35315486788749695,0.5906457304954529,0.4093543291091919,0.48195672035217285,0.5180432796478271,0.49198734760284424,0.5080126523971558,0.5336672067642212,0.4663327932357788
2017-10-24,0.5788179636001587,0.4211820363998413,0.6148752570152283,0.38512471318244934,0.5922229886054993,0.40777692198753357,0.4803048074245453,0.5196951031684875,0.5001107454299927,0.4998892545700073,0.5339853167533875,0.4660146236419678
2018-10-24,0.5733714699745178,0.42662855982780457,0.6374873518943787,0.3625127077102661,0.5905677676200867,0.40943220257759094,0.4827498495578766,0.5172501802444458,0.4929046034812927,0.507095456123352,0.5340413451194763,0.4659586250782013
2017-07-25,0.5853886604309082,0.414611279964447,0.6372209191322327,0.3627791404724121,0.5920230746269226,0.4079769253730774,0.47671177983283997,0.5232881903648376,0.4958513379096985,0.5041487216949463,0.5342637896537781,0.4657362401485443
2020-04-28,0.5860558748245239,0.4139441251754761,0.6658698320388794,0.334130197763443,0.5915151834487915,0.4084848165512085,0.48300787806510925,0.5169921517372131,0.49397706985473633,0.5060229301452637,0.5330580472946167,0.4669419825077057
2019-07-30,0.5899996757507324,0.41000035405158997,0.6384403109550476,0.3615596890449524,0.5856135487556458,0.4143865406513214,0.4788908362388611,0.5211091637611389,0.4913201928138733,0.5086798667907715,0.5350319743156433,0.4649680256843567
2020-01-28,0.5838131308555603,0.4161868393421173,0.6583893895149231,0.3416106104850769,0.5872265100479126,0.4127734899520874,0.4772210121154785,0.5227789878845215,0.4884816110134125,0.5115182995796204,0.5340960025787354,0.46590396761894226
2016-01-19,0.5879052877426147,0.41209468245506287,0.6252840161323547,0.3747159540653229,0.5988575220108032,0.40114250779151917,0.48343002796173096,0.5165699124336243,0.4958754777908325,0.5041245222091675,0.5337813496589661,0.4662186801433563
2016-07-21,0.5892557501792908,0.410744309425354,0.5984246730804443,0.40157538652420044,0.5928632020950317,0.40713679790496826,0.4836233854293823,0.5163766741752625,0.497956782579422,0.5020432472229004,0.53369140625,0.46630859375
2019-10-29,0.5882008075714111,0.41179925203323364,0.655868411064148,0.34413155913352966,0.5911163091659546,0.4088837504386902,0.48382407426834106,0.5161759853363037,0.49019044637680054,0.5098096132278442,0.5334224104881287,0.46657758951187134
2016-10-20,0.5737012624740601,0.4262987971305847,0.6207215785980225,0.37927839159965515,0.5903380513191223,0.4096619784832001,0.4919578731060028,0.5080421566963196,0.49857720732688904,0.5014228224754333,0.53403240442276,0.4659676253795624
2016-04-21,0.6060463190078735,0.3939536511898041,0.6226741075515747,0.37732595205307007,0.5967942476272583,0.4032057225704193,0.48930132389068604,0.5106986165046692,0.4973827600479126,0.5026172399520874,0.5337167978286743,0.46628326177597046
2019-04-30,0.5924217700958252,0.4075782001018524,0.6550207138061523,0.34497928619384766,0.5889850854873657,0.4110148847103119,0.4849594235420227,0.5150406360626221,0.4897312521934509,0.5102687478065491,0.5331437587738037,0.4668562412261963
